Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Situation;GeneralNetworkManagementTypeEnum;convoyService;Convoy service;A vehicle convoy service is in operation, for example with a snowplough running ahead due to bad weather conditions.;;
Situation;GeneralNetworkManagementTypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;GeographicCharacteristicEnum;aroundABendInRoad;Around a bend in road;Around a bend in the road.;;
LocationReferencing;GeographicCharacteristicEnum;onBorder;On border;On border crossing.;;
LocationReferencing;GeographicCharacteristicEnum;onPass;On pass;On mountain pass.;;
LocationReferencing;GeographicCharacteristicEnum;overCrestOfHill;Over crest of hill;Over the crest of a hill.;;
LocationReferencing;HeightGradeEnum;aboveGrade;Above grade;Above or over the normal road grade elevation.;;
LocationReferencing;HeightGradeEnum;atGrade;At grade;At the normal road grade elevation.;;
LocationReferencing;HeightGradeEnum;belowGrade;Below grade;Below or under the normal road grade elevation.;;
LocationReferencing;HeightTypeEnum;ellipsoidalHeight;Ellipsoidal height;Value measured vertically above the reference ellipsoid;;
LocationReferencing;HeightTypeEnum;gravityRelatedHeight;Gravity related height;Height type corresponding a value measured along direction of gravity above the reference geoid i.e. equipotential surface of the Earth's gravity field which globally approximates mean sea level.;;
LocationReferencing;HeightTypeEnum;relativeHeight;Relative height;Height type corresponding to value masured vertically above the ground level at this point.;;
Common;InformationDeliveryServicesEnum;anyGeneralDeliveryService;Any general delivery service;Includes any general delivery channel such as broadcast channels (e.g. radio, tv, RDS-TMC, TPEG services, etc.) or web publishing available to public or to specific users, depending on Service Provider policies.;;
Common;InformationDeliveryServicesEnum;safetyServices;Safety services;Specific services which deliver warning alerts to end users to enhance safety via any specific application available to drivers, including C-ITS services.;;
Common;InformationDeliveryServicesEnum;vms;Vms;Variable Message Signs or any other visual roadside devices which information are accessible to drivers which aim to affect driving style improving safety and road network LoS.;;
Common;InformationStatusEnum;real;Real;The information is real. It is not a test or exercise.;;
Common;InformationStatusEnum;securityExercise;Security exercise;The information is part of an exercise which is for testing security.;;
Common;InformationStatusEnum;technicalExercise;Technical exercise;The information is part of an exercise which includes tests of associated technical subsystems.;;
Common;InformationStatusEnum;test;Test;The information is part of a test for checking the exchange of this type of information.;;
Situation;InfrastructureDamageTypeEnum;damagedRoadSurface;Damaged road surface;Damage to the road surface that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;fallenPowerCables;Fallen power cables;The road is obstructed or partially obstructed by one or more fallen power cables.;;
Situation;InfrastructureDamageTypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;InfrastructureDescriptorEnum;atMotorwayInterchange;At motorway interchange;At a motorway interchange.;;
LocationReferencing;InfrastructureDescriptorEnum;atRestArea;At rest area;At rest area off the carriageway.;;
LocationReferencing;InfrastructureDescriptorEnum;atServiceArea;At service area;At service area.;;
LocationReferencing;InfrastructureDescriptorEnum;atTollPlaza;At toll plaza;At toll plaza.;;
LocationReferencing;InfrastructureDescriptorEnum;atTunnelEntryOrExit;At tunnel entry or exit;At entry or exit of tunnel.;;
LocationReferencing;InfrastructureDescriptorEnum;inGallery;In gallery;In gallery.;;
LocationReferencing;InfrastructureDescriptorEnum;inTunnel;In tunnel;In tunnel.;;
LocationReferencing;InfrastructureDescriptorEnum;onBridge;On bridge;On bridge.;;
LocationReferencing;InfrastructureDescriptorEnum;onConnector;On connector;On connecting carriageway between two different roads or road sections.;;
LocationReferencing;InfrastructureDescriptorEnum;onElevatedSection;On elevated section;On elevated section of road.;;
LocationReferencing;InfrastructureDescriptorEnum;onFlyover;On flyover;On flyover, i.e. on section of road over another road.;;
LocationReferencing;InfrastructureDescriptorEnum;onIceRoad;On ice road;On ice road.;;
LocationReferencing;InfrastructureDescriptorEnum;onLevelCrossing;On level crossing;On level-crossing.;;
LocationReferencing;InfrastructureDescriptorEnum;onLinkRoad;On link road;On road section linking two different roads.;;
LocationReferencing;InfrastructureDescriptorEnum;onRoundabout;On roundabout;On roundabout.;;
LocationReferencing;InfrastructureDescriptorEnum;onTheRoadway;On the roadway;On the roadway.;;
LocationReferencing;InfrastructureDescriptorEnum;onUndergroundSection;On underground section;On underground section of road.;;
LocationReferencing;InfrastructureDescriptorEnum;onUnderpass;On underpass;On underpass, i.e. section of road which passes under another road.;;
LocationReferencing;InfrastructureDescriptorEnum;withinJunction;Within junction;On the main carriageway within a junction between exit slip road and entry slip road.;;
Situation;InjuryStatusTypeEnum;dead;Dead;Dead.;;
Situation;InjuryStatusTypeEnum;injured;Injured;Injured requiring medical treatment.;;
Situation;InjuryStatusTypeEnum;unknown;Unknown;Injury status unknown.;;
LocationReferencing;LaneEnum;allLanesCompleteCarriageway;All lanes complete carriageway;In all lanes of the carriageway.;;
LocationReferencing;LaneEnum;busLane;Bus lane;In the bus lane.;;
LocationReferencing;LaneEnum;busStop;Bus stop;In the bus stop lane.;;
LocationReferencing;LaneEnum;carPoolLane;Car pool lane;In the carpool lane.;;
LocationReferencing;LaneEnum;centralReservation;Central reservation;On the central reservation separating the two directional carriageways of the highway.;;
LocationReferencing;LaneEnum;crawlerLane;Crawler lane;In the crawler lane - a lane that should be used by slower vehicles.;;
LocationReferencing;LaneEnum;cycleLane;Cycle lane;Part of a carriageway designated for cycles. A cycle lane is distinguished from the rest of the carriageway by longitudinal road markings.;;
LocationReferencing;LaneEnum;emergencyLane;Emergency lane;In the emergency lane.;;
LocationReferencing;LaneEnum;escapeLane;Escape lane;In the escape lane.;;
LocationReferencing;LaneEnum;expressLane;Express lane;In the express lane.;;
LocationReferencing;LaneEnum;hardShoulder;Hard shoulder;On the hard shoulder.;;
LocationReferencing;LaneEnum;heavyVehicleLane;Heavy vehicle lane;In the heavy vehicle lane.;;
LocationReferencing;LaneEnum;layBy;Lay by;In a lay-by.;;
LocationReferencing;LaneEnum;leftHandTurningLane;Left hand turning lane;In the left hand turning lane.;;
LocationReferencing;LaneEnum;leftLane;Left lane;In the left lane.;;
LocationReferencing;LaneEnum;localTrafficLane;Local traffic lane;In the local traffic lane.;;
LocationReferencing;LaneEnum;middleLane;Middle lane;In the middle lane.;;
LocationReferencing;LaneEnum;overtakingLane;Overtaking lane;In the overtaking lane.;;
LocationReferencing;LaneEnum;rightHandTurningLane;Right hand turning lane;In the right hand turning lane.;;
LocationReferencing;LaneEnum;rightLane;Right lane;In the right lane.;;
LocationReferencing;LaneEnum;rushHourLane;Rush hour lane;In the lane dedicated for use during the rush (peak) hour.;;
LocationReferencing;LaneEnum;setDownArea;Set down area;In the area/lane reserved for passenger pick-up or set-down.;;
LocationReferencing;LaneEnum;slowVehicleLane;Slow vehicle lane;In a lane dedicated to vehicles that are not permitted to exceed a fixed slow speed.;;
LocationReferencing;LaneEnum;throughTrafficLane;Through traffic lane;In the through traffic lane.;;
LocationReferencing;LaneEnum;tidalFlowLane;Tidal flow lane;In the lane dedicated for use as a tidal flow lane.;;
LocationReferencing;LaneEnum;turningLane;Turning lane;In the turning lane.;;
LocationReferencing;LaneEnum;verge;Verge;On the verge.;;
LocationReferencing;LinearDirectionEnum;aligned;Aligned;Indicates that the direction of traffic flow affected by the situation or related to the traffic data is in the same sense as the direction in which the linear element is defined.;;
LocationReferencing;LinearDirectionEnum;both;Both;Indicates that both directions of traffic flow are affected by the situation or relate to the traffic data.;;
LocationReferencing;LinearDirectionEnum;opposite;Opposite;Indicates that the direction of traffic flow affected by the situation or related to the traffic data is in the opposite sense to the direction in which the linear element is defined.;;
LocationReferencing;LinearDirectionEnum;unknown;Unknown;Indicates that the direction of traffic flow affected by the situation or related to the traffic data is unknown.;;
LocationReferencing;LinearElementNatureEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;LinearElementNatureEnum;road;Road;The nature of the linear element is a road.;;
LocationReferencing;LinearElementNatureEnum;roadSection;Road section;The nature of the linear element is a section of a road.;;
LocationReferencing;LinearElementNatureEnum;slipRoad;Slip road;The nature of the linear element is a slip road.;;
Common;LoadTypeEnum;abnormalLoad;Abnormal load;A load that exceeds normal vehicle dimensions in terms of height, length, width, gross vehicle weight or axle weight or any combination of these. Generally termed an "abnormal load".;;
Common;LoadTypeEnum;ammunition;Ammunition;Ammunition.;;
Common;LoadTypeEnum;chemicals;Chemicals;Chemicals of unspecified type.;;
Common;LoadTypeEnum;combustibleMaterials;Combustible materials;Combustible materials of unspecified type.;;
Common;LoadTypeEnum;corrosiveMaterials;Corrosive materials;Corrosive materials of unspecified type.;;
Common;LoadTypeEnum;debris;Debris;Debris of unspecified type.;;
Common;LoadTypeEnum;empty;Empty;No load.;;
Common;LoadTypeEnum;explosiveMaterials;Explosive materials;Explosive materials of unspecified type.;;
Common;LoadTypeEnum;extraHighLoad;Extra high load;A load of exceptional height.;;
Common;LoadTypeEnum;extraLongLoad;Extra long load;A load of exceptional length.;;
Common;LoadTypeEnum;extraWideLoad;Extra wide load;A load of exceptional width.;;
Common;LoadTypeEnum;fuel;Fuel;Fuel of unspecified type.;;
Common;LoadTypeEnum;glass;Glass;Glass.;;
Common;LoadTypeEnum;goods;Goods;Any goods of a commercial nature.;;
Common;LoadTypeEnum;hazardousMaterials;Hazardous materials;Materials classed as being of a hazardous nature.;;
Common;LoadTypeEnum;liquid;Liquid;Liquid of an unspecified nature.;;
Common;LoadTypeEnum;livestock;Livestock;Livestock.;;
Common;LoadTypeEnum;materials;Materials;General materials of unspecified type.;;
Common;LoadTypeEnum;materialsDangerousForPeople;Materials dangerous for people;Materials classed as being of a danger to people or animals.;;
Common;LoadTypeEnum;materialsDangerousForTheEnvironment;Materials dangerous for the environment;Materials classed as being potentially dangerous to the environment.;;
Common;LoadTypeEnum;materialsDangerousForWater;Materials dangerous for water;Materials classed as being dangerous when exposed to water (e.g. materials which may react exothermically with water).;;
Common;LoadTypeEnum;oil;Oil;Oil.;;
Common;LoadTypeEnum;ordinary;Ordinary;Materials that present limited environmental or health risk. Non-combustible, non-toxic, non-corrosive.;;
Common;LoadTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;LoadTypeEnum;perishableProducts;Perishable products;Products or produce that will significantly degrade in quality or freshness over a short period of time.;;
Common;LoadTypeEnum;petrol;Petrol;Petrol or petroleum.;;
Common;LoadTypeEnum;pharmaceuticalMaterials;Pharmaceutical materials;Pharmaceutical materials.;;
Common;LoadTypeEnum;radioactiveMaterials;Radioactive materials;Materials that emit significant quantities of electro-magnetic radiation that may present a risk to people, animals or the environment.;;
Common;LoadTypeEnum;refrigeratedGoods;Refrigerated goods;Refrigerated goods.;;
Common;LoadTypeEnum;refuse;Refuse;Refuse.;;
Common;LoadTypeEnum;toxicMaterials;Toxic materials;Materials of a toxic nature which may damage the environment or endanger public health.;;
Common;LoadTypeEnum;vehicles;Vehicles;Vehicles of any type which are being transported.;;
Common;LowEmissionLevelEnum;freeOfEmission;Free of emission;Only vehicles that do not produce emissions (e.g. electric driven). Hybrid driven cars are allowed, when they switch to emission free mode within the considered situation.;;
Common;LowEmissionLevelEnum;lowLevelEmission;Low level emission;Vehicles with low level emission.;;
Situation;MobilityTypeEnum;mobile;Mobile;The described element of a situation is moving.;;
Situation;MobilityTypeEnum;stationary;Stationary;The described element of a situation is stationary.;;
Situation;MobilityTypeEnum;unknown;Unknown;The mobility of the described element of a situation is unknown.;;
LocationReferencing;NamedAreaTypeEnum;applicationRegion;Application region;Application region;;
LocationReferencing;NamedAreaTypeEnum;carParkArea;Car park area;Car park area;;
LocationReferencing;NamedAreaTypeEnum;carpoolArea;Carpool area;Carpool area;;
LocationReferencing;NamedAreaTypeEnum;continent;Continent;Continent;;
LocationReferencing;NamedAreaTypeEnum;country;Country;Country;;
LocationReferencing;NamedAreaTypeEnum;countryGroup;Country group;Group of countries.;;
LocationReferencing;NamedAreaTypeEnum;fuzzyArea;Fuzzy area;Fuzzy area;;
LocationReferencing;NamedAreaTypeEnum;industrialArea;Industrial area;Industrial area;;
LocationReferencing;NamedAreaTypeEnum;lake;Lake;Lake;;
LocationReferencing;NamedAreaTypeEnum;meteorologicalArea;Meteorological area;Meteorological area;;
LocationReferencing;NamedAreaTypeEnum;metropolitanArea;Metropolitan area;Metropolitan area;;
LocationReferencing;NamedAreaTypeEnum;municipality;Municipality;Municipality;;
LocationReferencing;NamedAreaTypeEnum;order1AdministrativeArea;Order1 administrative area;Order 1 administrative area;;
LocationReferencing;NamedAreaTypeEnum;order2AdministrativeArea;Order2 administrative area;Order 2 administrative area;;
LocationReferencing;NamedAreaTypeEnum;order3AdministrativeArea;Order3 administrative area;Order 3 administrative area;;
LocationReferencing;NamedAreaTypeEnum;order4AdministrativeArea;Order4 administrative area;Order 4 administrative area;;
LocationReferencing;NamedAreaTypeEnum;order5AdministrativeArea;Order5 administrative area;Order 5 administrative area;;
LocationReferencing;NamedAreaTypeEnum;parkAndRideSite;Park and ride site;A park and ride site;;
LocationReferencing;NamedAreaTypeEnum;policeForceControlArea;Police force control area;Police force control area;;
LocationReferencing;NamedAreaTypeEnum;roadOperatorControlArea;Road operator control area;Road operator control area;;
LocationReferencing;NamedAreaTypeEnum;ruralCounty;Rural county;Rural county;;
LocationReferencing;NamedAreaTypeEnum;sea;Sea;Sea;;
LocationReferencing;NamedAreaTypeEnum;touristArea;Tourist area;Tourist area;;
LocationReferencing;NamedAreaTypeEnum;trafficArea;Traffic area;Traffic area;;
LocationReferencing;NamedAreaTypeEnum;urbanCounty;Urban county;Urban county;;
LocationReferencing;NamedAreaTypeEnum;waterArea;Water area;Water area;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;looseChippings;Loose chippings;Increased skid risk and injury risk due to loose chippings on road.;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;mudOnRoad;Mud on road;Increased skid risk due to mud on road.;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;oilOnRoad;Oil on road;Increased skid risk due to oil on road.;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;petrolOnRoad;Petrol on road;Increased skid risk due to petrol on road.;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;roadMarkingNotPresent;Road marking not present;Road markings are not present due to maintenance works in progress;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;roadSurfaceInPoorCondition;Road surface in poor condition;The road surface is damaged, severely rutted or potholed (i.e. it is in a poor state of repair).;;
Situation;NonWeatherRelatedRoadConditionTypeEnum;slipperyRoad;Slippery road;The road surface is slippery due to an unspecified non-weather related cause.;;
LocationReferencing;NutsCodeTypeEnum;lau1Code;Lau1 code;LAU 1 code;;
LocationReferencing;NutsCodeTypeEnum;lau2Code;Lau2 code;LAU 2 code;;
LocationReferencing;NutsCodeTypeEnum;nuts1Code;Nuts1 code;NUTS 1 code;;
LocationReferencing;NutsCodeTypeEnum;nuts2Code;Nuts2 code;NUTS 2 code;;
LocationReferencing;NutsCodeTypeEnum;nuts3Code;Nuts3 code;NUTS 3 code;;
Situation;ObstructionTypeEnum;childrenOnRoadway;Children on roadway;Children on the roadway which may cause traffic disruption.;;
Situation;ObstructionTypeEnum;clearanceWork;Clearance work;Clearance work associated with an earlier traffic problem which may cause traffic disruption.;;
Situation;ObstructionTypeEnum;cyclistsOnRoadway;Cyclists on roadway;Cyclists on the roadway which may cause traffic disruption.;;
Situation;ObstructionTypeEnum;explosion;Explosion;A situation where an explosive or incendiary device has gone off.;;
Situation;ObstructionTypeEnum;incident;Incident;Incidents are chance occurrences involving vehicles from the traffic stream, which could present potential hazards to road users.  This item excludes accidents.;;
Situation;ObstructionTypeEnum;objectOnTheRoad;Object on the road;The road may be obstructed or traffic hindered due to objects laying on the roadway.;;
Situation;ObstructionTypeEnum;obstructionOnTheRoad;Obstruction on the road;Unspecified obstruction on the roadway which may cause traffic disruption.;;
Situation;ObstructionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;ObstructionTypeEnum;peopleOnRoadway;People on roadway;People on the roadway which may cause traffic disruption.;;
Situation;ObstructionTypeEnum;rescueAndRecoveryWork;Rescue and recovery work;Work is being undertaken by emergency services which may present a hazard to road users.;;
Situation;ObstructionTypeEnum;shedLoad;Shed load;Spillage of transported goods on the roadway which may cause traffic disruption.;;
Situation;ObstructionTypeEnum;unprotectedAccidentArea;Unprotected accident area;An accident area which has not been protected and may present a hazard to road users.;;
LocationReferencing;OpenlrFormOfWayEnum;motorway;Motorway;Motorway;;
LocationReferencing;OpenlrFormOfWayEnum;multipleCarriageway;Multiple carriageway;Multiple carriageway;;
LocationReferencing;OpenlrFormOfWayEnum;other;Other;Other;;
LocationReferencing;OpenlrFormOfWayEnum;roundabout;Roundabout;Roundabout;;
LocationReferencing;OpenlrFormOfWayEnum;singleCarriageway;Single carriageway;Single carriageway;;
LocationReferencing;OpenlrFormOfWayEnum;slipRoad;Slip road;Slip road;;
LocationReferencing;OpenlrFormOfWayEnum;trafficSquare;Traffic square;Traffic square;;
LocationReferencing;OpenlrFormOfWayEnum;undefined;Undefined;Undefined;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc0;Frc0;Main road, highest importance;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc1;Frc1;First class road;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc2;Frc2;Second class road;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc3;Frc3;Third class road;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc4;Frc4;Fourth class road;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc5;Frc5;Fifth class road;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc6;Frc6;Sixth class road;;
LocationReferencing;OpenlrFunctionalRoadClassEnum;frc7;Frc7;Other class road, lowest importance;;
LocationReferencing;OpenlrOrientationEnum;againstLineDirection;Against line direction;Against line direction;;
LocationReferencing;OpenlrOrientationEnum;both;Both;Both directions;;
LocationReferencing;OpenlrOrientationEnum;noOrientationOrUnknown;No orientation or unknown;No orientation or unknown;;
LocationReferencing;OpenlrOrientationEnum;withLineDirection;With line direction;With line direction;;
LocationReferencing;OpenlrSideOfRoadEnum;both;Both;On both sides of the road.;;
LocationReferencing;OpenlrSideOfRoadEnum;left;Left;On the left side of the road.;;
LocationReferencing;OpenlrSideOfRoadEnum;onRoadOrUnknown;On road or unknown;On road or unknown;;
LocationReferencing;OpenlrSideOfRoadEnum;right;Right;On the right side of the road.;;
Situation;PoorEnvironmentTypeEnum;badWeather;Bad weather;Adverse weather conditions are affecting driving conditions.;;
Situation;PoorEnvironmentTypeEnum;blowingSnow;Blowing snow;Fallen snow moving due to the forces of wind.;;
Situation;PoorEnvironmentTypeEnum;crosswinds;Crosswinds;Strong cross winds across the direction of the roadway (e.g. on a ridge or bridge).;;
Situation;PoorEnvironmentTypeEnum;denseFog;Dense fog;Dense fog, limiting visibility to 50m or less.;;
Situation;PoorEnvironmentTypeEnum;fog;Fog;Fog, visibility more than 50m.;;
Situation;PoorEnvironmentTypeEnum;hail;Hail;Falling ice pellets or frozen rain.;;
Situation;PoorEnvironmentTypeEnum;heavyRain;Heavy rain;Heavy rainfall, limiting visibility to 50m or less.;;
Situation;PoorEnvironmentTypeEnum;heavySnowfall;Heavy snowfall;Dense falling snow, limiting visibility to 50m or less.;;
Situation;PoorEnvironmentTypeEnum;lowSunGlare;Low sun glare;Difficult visibility conditions created by low elevation sunlight.;;
Situation;PoorEnvironmentTypeEnum;nearbyFire;Nearby fire;Fire near the road affecting driving conditions and/or significantly reduced visibility;;
Situation;PoorEnvironmentTypeEnum;patchyFog;Patchy fog;Fog, in which intermittent areas of dense fog may be encountered.;;
Situation;PoorEnvironmentTypeEnum;rain;Rain;Rain, visibility more than 50m.;;
Situation;PoorEnvironmentTypeEnum;severeSmog;Severe smog;Environmental warning of very poor air quality resulting from smog.;;
Situation;PoorEnvironmentTypeEnum;sleet;Sleet;Rain mingled with snow or hail.;;
Situation;PoorEnvironmentTypeEnum;smogAlert;Smog alert;Environmental warning of poor air quality resulting from smog.;;
Situation;PoorEnvironmentTypeEnum;smokeHazard;Smoke hazard;Smoke drifting across the roadway causing significantly reduced visibility.;;
Situation;PoorEnvironmentTypeEnum;snowfall;Snowfall;Falling snow, visibility more than 50m.;;
Situation;PoorEnvironmentTypeEnum;stormForceWinds;Storm force winds;Winds between 90 km/h and 120 km/h.;;
Situation;PoorEnvironmentTypeEnum;strongWinds;Strong winds;Winds between 40 km/h and 60 km/h.;;
Situation;PoorEnvironmentTypeEnum;thunderstorms;Thunderstorms;Electrical storms, generally with heavy rain.;;
Situation;PoorEnvironmentTypeEnum;visibilityReduced;Visibility reduced;Environmental conditions causing reduced visibility.;;
LocationReferencing;PositionConfidenceCodedErrorEnum;outOfRange;Out of range;Indicates the accuracy is out of range, i.e. greater than 4 093 cm for horizontal position.;;
LocationReferencing;PositionConfidenceCodedErrorEnum;unavailable;Unavailable;Indicates the accuracy information is unavailable.;;
Situation;ProbabilityOfOccurrenceEnum;certain;Certain;The source is completely certain of the occurrence of the situation record version content.;;
Situation;ProbabilityOfOccurrenceEnum;probable;Probable;The source has a reasonably high level of confidence of the occurrence of the situation record version content.;;
Situation;ProbabilityOfOccurrenceEnum;riskOf;Risk of;The source has a moderate level of confidence of the occurrence of the situation record version content.;;
Common;PublicEventTypeEnum;bicycleRace;Bicycle race;Bicycle race that could disrupt traffic.;;
Common;PublicEventTypeEnum;ceremonialEvent;Ceremonial event;Formal or religious act, rite or ceremony that could disrupt traffic.;;
Common;PublicEventTypeEnum;concert;Concert;Concert event that could disrupt traffic.;;
Common;PublicEventTypeEnum;fair;Fair;Periodic (e.g. annual), often traditional, gathering for entertainment or trade promotion, which could disrupt traffic.;;
Common;PublicEventTypeEnum;festival;Festival;Celebratory event or series of events which could disrupt traffic.;;
Common;PublicEventTypeEnum;majorEvent;Major event;Significant organised event either on or near the roadway which could disrupt traffic.;;
Common;PublicEventTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;PublicEventTypeEnum;show;Show;Entertainment event that could disrupt traffic.;;
Common;PublicEventTypeEnum;sportsMeeting;Sports meeting;Sports event of unspecified type that could disrupt traffic.;;
Common;PublicEventTypeEnum;tradeFair;Trade fair;A periodic (e.g. annual), often traditional, gathering for trade promotion, which could disrupt traffic.;;
LocationReferencing;ReferentTypeEnum;boundary;Boundary;A boundary between two jurisdictional or administrative areas. These may be legal boundaries such as between counties or countries, maintenance responsibility boundaries or control boundaries. ;;
LocationReferencing;ReferentTypeEnum;intersection;Intersection;A crossing of two or more roads where the precise point of intersection is defined according to specific business rules.;;
LocationReferencing;ReferentTypeEnum;landmark;Landmark;A visible identifiable physical landmark either alongside or close to the linear object.;;
LocationReferencing;ReferentTypeEnum;referenceMarker;Reference marker;A marker which is usually but not necessarily physical that is one of a sequence which are spaced out along the linear object (road) to provide a location reference. The spacing of markers is not necessarily even.;;
LocationReferencing;ReferentTypeEnum;roadNode;Road node;A topological node defined on a road network. Such nodes may delineate the segmentation of the road network according to defined business rules or may constitute a purely topological representation of a road network.;;
Situation;ReroutingManagementTypeEnum;followDiversionSigns;Follow diversion signs;Rerouted traffic is to follow the diversion signs.;;
Situation;ReroutingManagementTypeEnum;useEntry;Use entry;Rerouted traffic is to use the specified entry onto the identified road to commence the alternative route.;;
Situation;ReroutingManagementTypeEnum;useExit;Use exit;Rerouted traffic is to use the specified exit from the identified road to commence the alternative route.;;
Situation;ReroutingManagementTypeEnum;useIntersectionOrJunction;Use intersection or junction;Rerouted traffic is to use the specified intersection or junction to commence the alternative route.;;
Situation;RoadMaintenanceTypeEnum;accidentRepairWork;Accident repair work;repairing works after an accident, not clearance work but rebuilding of infrastructure;;
Situation;RoadMaintenanceTypeEnum;clearanceWork;Clearance work;Clearance work of an unspecified nature.;;
Situation;RoadMaintenanceTypeEnum;controlledAvalanche;Controlled avalanche;Controlled avalanche work.;;
Situation;RoadMaintenanceTypeEnum;maintenancePeopleOnRoad;Maintenance people on road;People on road for general maintenance purpose;;
Situation;RoadMaintenanceTypeEnum;maintenanceWork;Maintenance work;Maintenance of road, associated infrastructure or equipments.;;
Situation;RoadMaintenanceTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;RoadMaintenanceTypeEnum;roadMarkingWork;Road marking work;Striping and repainting of road markings, plus placement or replacement of reflecting studs (cats' eyes).;;
Situation;RoadMaintenanceTypeEnum;roadworks;Roadworks;Road maintenance or improvement activity of an unspecified nature which may potentially cause traffic disruption.;;
Situation;RoadMaintenanceTypeEnum;saltingInProgress;Salting in progress;Spreading of salt and / or grit on the road surface to prevent or melt snow or ice.;;
Situation;RoadMaintenanceTypeEnum;snowploughsInUse;Snowploughs in use;Snowploughs or other similar mechanical devices in use to clear snow from the road.;;
Situation;RoadOperatorServiceDisruptionTypeEnum;emergencyTelephoneNumberOutOfService;Emergency telephone number out of service;Emergency telephone number for use by public to report incidents is out of service.;;
Situation;RoadOperatorServiceDisruptionTypeEnum;informationServiceTelephoneNumberOutOfService;Information service telephone number out of service;Road information service telephone number is out of service.;;
Situation;RoadOperatorServiceDisruptionTypeEnum;noTrafficOfficerPatrolService;No traffic officer patrol service;No traffic officer patrol service is operating.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;closedPermanentlyForTheWinter;Closed permanently for the winter;The road is closed to vehicles with the specified characteristics or all, if none defined, for the duration of the winter.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;contraflow;Contraflow;Two-way traffic is temporarily sharing a single carriageway.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;hardShoulderRunningInOperation;Hard shoulder running in operation;The hard shoulder is open as an operational lane.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;hardShoulderRunningNotInOperation;Hard shoulder running not in operation;the hardshoulder used for dynamic hardshoulder management is closed to vehicles i.e. not running;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;heightRestrictionInOperation;Height restriction in operation;A height restriction is in operation.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;intermittentShortTermClosures;Intermittent short term closures;Road closures occur intermittently on the specified road in the specified direction for short durations.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;laneClosures;Lane closures;Lane closures are in operation at the specified location for vehicles with the specified characteristics or all, if none defined, in the specified direction.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;lanesDeviated;Lanes deviated;Lane deviations are in operation at the specified location.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;narrowLanes;Narrow lanes;Normal lane widths are temporarily reduced.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;overnightClosures;Overnight closures;Every night the road is closed to vehicles with the specified characteristics or all, if none defined, in the specified direction by decision of the appropriate authorities.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;roadClosed;Road closed;The road is closed to vehicles with the specified characteristics or all, if none defined, in the specified direction.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;singleAlternateLineTraffic;Single alternate line traffic;Traffic is being controlled to move in alternate single lines. This control may be undertaken by traffic lights or flagman.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;vehicleStorageInOperation;Vehicle storage in operation;Vehicles are being stored on the roadway and/or at a rest area or service area at the specified location.;;
Situation;RoadOrCarriagewayOrLaneManagementTypeEnum;weightRestrictionInOperation;Weight restriction in operation;A weight restriction is in operation.;;
Situation;RoadsideAssistanceTypeEnum;airAmbulance;Air ambulance;Air ambulance assistance.;;
Situation;RoadsideAssistanceTypeEnum;busPassengerAssistance;Bus passenger assistance;Bus passenger assistance.;;
Situation;RoadsideAssistanceTypeEnum;emergencyServices;Emergency services;Emergency services assistance.;;
