Namespace;Class name;Attribute name;Designation;Definition;Multiplicity;Type;Origin;Original code
Situation;SpeedManagement;speedManagementType;Speed management type;Type of speed management action instigated by operator.;0..1;EAID_2832B76B_8083_4766_BC98_32897AC63360;;
Situation;SpeedManagement;temporarySpeedLimit;Temporary speed limit;Temporary limit defining the maximum advisory or mandatory speed of vehicles.;0..1;EAID_0FE37E95_3797_468c_BFF9_B7E72038506A;;
Situation;WinterDrivingManagement;winterEquipmentManagementType;Winter equipment management type;Type of winter equipment management action instigated by operator.;1..1;EAID_89946255_EE22_4b00_8785_4C861B96E61C;;
Situation;AnimalPresenceObstruction;alive;Alive;Indicates whether the identified animals are dead (immobile) or alive (potentially mobile).;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Situation;AnimalPresenceObstruction;animalPresenceType;Animal presence type;Indicates the nature of animals present on or near the roadway.;1..1;EAID_85585791_5FA9_4866_9E6B_0241DC4F8D86;;
Situation;EnvironmentalObstruction;environmentalObstructionType;Environmental obstruction type;Characterization of an obstruction on the road resulting from an environmental cause.;1..1;EAID_1383A063_FBEE_4ba5_9408_C2E30134F4BE;;
Situation;GeneralObstruction;obstructionType;Obstruction type;Characterization of the type of general obstruction.;1..*;EAID_C2919DE7_121B_4857_B5C0_1707823BB4C7;;
Situation;InfrastructureDamageObstruction;infrastructureDamageType;Infrastructure damage type;Characterization of an obstruction on the road resulting from the failure or damage of infrastructure on, under, above or close to the road.;1..1;EAID_CB4CE3F6_900F_4724_A212_3B072403A478;;
Situation;Obstruction;numberOfObstructions;Number of obstructions;The number of obstructions that are partly or wholly blocking the road.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Situation;VehicleObstruction;involvedVehicleType;Involved vehicle type;Type of vehicle involved;0..1;EAID_61FF4543_14D3_4a72_8934_72AECC1EC99C;;
Situation;VehicleObstruction;vehicleObstructionType;Vehicle obstruction type;Characterization of an obstruction on the road caused by one or more vehicles.;1..1;EAID_64FC5DF5_9DA2_48c8_B6FF_A1299DD6EAE5;;
LocationReferencing;OpenlrLineAttributes;openlrBearing;Openlr bearing;defines the bearing field as an integer value between 0 and 359;1..1;EAID_AD0F9F63_BEE7_44db_80EA_6ACFBAFED493;;
LocationReferencing;OpenlrLineAttributes;openlrFormOfWay;Openlr form of way;A classification based on the importance of the role that the Road Element (or Ferry Connection) performs in the connectivity of the total road network. (EN ISO 14825 § 7.2.88);1..1;EAID_E404840F_C8A0_4c64_9F82_1924AC176581;;
LocationReferencing;OpenlrLineAttributes;openlrFunctionalRoadClass;Openlr functional road class;Certain aspects of the physical form that a Road Element takes. It is based on a number of certain physical and traffic properties. (EN ISO 14825 § 7.2.85);1..1;EAID_612A7287_BA39_4e4d_A5D7_F216C1946106;;
LocationReferencing;OpenlrOffsets;openlrNegativeOffset;Openlr negative offset;The negative offset along the line of the location measured along the line reference path between the end point of the location reference and the ending node of the line reference path.;0..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
LocationReferencing;OpenlrOffsets;openlrPositiveOffset;Openlr positive offset;The positive offset along the line of the location measured along the line reference path between the start point of the location reference and the starting node of the line reference path.;0..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
LocationReferencing;OpenlrPathAttributes;openlrDistanceToNextLRPoint;Openlr distance to next l r point;The DNP attribute measures the distance in meters between two consecutive location reference-points along the location reference path described in the corresponding enumeration;1..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
LocationReferencing;OpenlrPathAttributes;openlrLowestFrcToNextLRPoint;Openlr lowest frc to next l r point;The lowest FRC to the next point indicates the lowest functional road class used in the location reference path to the next LR-point.;1..1;EAID_612A7287_BA39_4e4d_A5D7_F216C1946106;;
LocationReferencing;OpenlrCircleLocationReference;openlrRadius;Openlr radius;The radius of the corresponding circular area.;1..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
LocationReferencing;OpenlrGridLocationReference;openlrNumColumns;Openlr num columns;The number that the base rectangle should be multiplied in the east direction;1..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
LocationReferencing;OpenlrGridLocationReference;openlrNumRows;Openlr num rows;The number that the base rectangle should be multiplied in the north direction;1..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
LocationReferencing;OpenlrBasePointLocation;openlrOrientation;Openlr orientation;Orientation of the driving direction in relation with the direction of the underlying linear;1..1;EAID_38042EEB_958F_4d8d_8E78_22EC9464CFC9;;
LocationReferencing;OpenlrBasePointLocation;openlrSideOfRoad;Openlr side of road;Provides the of road where the corresponding point lies.;1..1;EAID_B542EE57_AF3F_4cc4_B0F3_90C14D4CE3EF;;
LocationReferencing;DistanceFromLinearElementReferent;distanceAlong;Distance along;A measure of distance along a linear element.;1..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;DistanceFromLinearElementStart;distanceAlong;Distance along;A measure of distance along a linear element.;1..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;LinearElement;linearElementNature;Linear element nature;An indication of the nature of the linear element.;0..1;EAID_12C6E3B8_DD26_41c6_99A0_A4A0D0703834;;
LocationReferencing;LinearElement;linearElementReferenceModel;Linear element reference model;The identifier of a road network reference model which segments the road network according to specific business rules.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;LinearElement;linearElementReferenceModelVersion;Linear element reference model version;The version of the identified road network reference model.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;LinearElement;roadName;Road name;Name of the road;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;LinearElement;roadNumber;Road number;Identifier/number of the road;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;LinearElementByCode;linearElementIdentifier;Linear element identifier;An identifier or code of a linear element (or link) in the road network reference model that is specified in the LinearElement class. ;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;PercentageDistanceAlongLinearElement;percentageDistanceAlong;Percentage distance along;A measure of distance along a linear element from the start of the element expressed as a percentage of the total length of the linear object.;1..1;EAID_1BCFDF65_6763_431e_A6E6_7DDD466F0FDC;;
LocationReferencing;PointAlongLinearElement;administrativeAreaOfPoint;Administrative area of point;Identification of the road administration area which contains the specified point.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;PointAlongLinearElement;directionAtPoint;Direction at point;The direction of traffic flow at the specified point in terms of general destination direction.;0..1;EAID_21079C67_C37F_4608_A1B6_3203D8F4FBF4;;
LocationReferencing;PointAlongLinearElement;directionRelativeAtPoint;Direction relative at point;The direction of traffic flow at the specified point relative to the direction in which the linear element is defined.;0..1;EAID_3855110B_58FC_4abc_B24D_F8E0A01CE1DB;;
LocationReferencing;PointAlongLinearElement;heightGradeOfPoint;Height grade of point;Identification of whether the point on the linear element is at, above or below the normal elevation of a linear element of that type (e.g. road or road section) at that location, typically used to indicate "grade" separation.;0..1;EAID_58DB636F_DC56_4c5b_A6B9_B836009EB0A2;;
LocationReferencing;Referent;referentDescription;Referent description;Description of the referent.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;Referent;referentIdentifier;Referent identifier;The identifier of the referent, unique on the specified linear element (i.e. road or part of).;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;Referent;referentName;Referent name;The name of the referent, e.g. a junction or intersection name.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;Referent;referentType;Referent type;The type of the referent.;1..1;EAID_7E595C98_61A9_40e0_9EB9_1A84CCBF4AE2;;
LocationReferencing;AltitudeConfidence;altitudeAccuracyCodedError;Altitude accuracy coded error;Error code in case the altitude confidence is out of range or cannot be determined;0..1;EAID_0ACCA60A_C588_4556_9210_B8E7EF78289D;;
LocationReferencing;AltitudeConfidence;altitudeAccuracyCodedValue;Altitude accuracy coded value;Absolute accuracy of reported value of a geographical point for a confidence level expressed by a coded scale.;0..1;EAID_80CBFBBB_6659_405e_B7A6_0324A580DB60;;
LocationReferencing;HeightCoordinate;heightType;Height type;Type of measured height.When it is omitted it is supposed to be the ellipsoidal height.;0..1;EAID_AF02A938_B1A3_4f84_8778_D865BE22CF3E;;
LocationReferencing;HeightCoordinate;heightValue;Height value;Value in metres for the height measured vertically at to the planar coordinates the point corresponding.;1..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;PointByCoordinates;bearing;Bearing;A bearing at the point measured in degrees (0 - 359). Unless otherwise specified the reference direction corresponding to 0 degrees is North.;0..1;EAID_AD0F9F63_BEE7_44db_80EA_6ACFBAFED493;;
LocationReferencing;PointCoordinates;latitude;Latitude;Latitude in decimal degrees using the European Terrestrial Reference System 1989 (ETRS89).;1..1;EAID_6D9A1FCE_0D84_4c83_9683_2AE099B41685;;
LocationReferencing;PointCoordinates;longitude;Longitude;Longitude in decimal degrees using the European Terrestrial Reference System 1989 (ETRS89).;1..1;EAID_6D9A1FCE_0D84_4c83_9683_2AE099B41685;;
LocationReferencing;PositionAccuracy;accuracyPercentile50;Accuracy percentile50;Accuracy defined by the 50th percentile of the cumulative distribution of position errors.;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;PositionAccuracy;accuracyPercentile75;Accuracy percentile75;Accuracy defined by the 75th percentile of the cumulative distribution of position errors;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;PositionAccuracy;accuracyPercentile95;Accuracy percentile95;Accuracy defined by the 95th percentile of the cumulative distribution of position errors;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;PositionConfidenceEllipse;semiMajorAxisLength;Semi major axis length;Half of length of the major axis, i.e. distance between the centre point and major axis point of the position accuracy ellipse.;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;PositionConfidenceEllipse;semiMajorAxisLengthCodedError;Semi major axis length coded error;Provides a coded error in case the semi-major axis length is not defined;0..1;EAID_0ACCA60A_C588_4556_9210_B8E7EF78289D;;
LocationReferencing;PositionConfidenceEllipse;semiMajorAxisOrientation;Semi major axis orientation;Orientation direction of the ellipse major axis of the position accuracy ellipse with regards to the geographic north.;0..1;EAID_AD0F9F63_BEE7_44db_80EA_6ACFBAFED493;;
LocationReferencing;PositionConfidenceEllipse;semiMajorAxisOrientationError;Semi major axis orientation error;Indicates whether the ellipse orientation is unavailable (True) or not (False);0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
LocationReferencing;PositionConfidenceEllipse;semiMinorAxisLength;Semi minor axis length;Half of length of the minor axis, i.e. distance between the centre point and minor axis point of the position accuracy ellipse;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;PositionConfidenceEllipse;semiMinorAxisLengthCodedError;Semi minor axis length coded error;Provides a coded error in case the semi-minor axis length is not defined;0..1;EAID_0ACCA60A_C588_4556_9210_B8E7EF78289D;;
Situation;MaintenanceWorks;roadMaintenanceType;Road maintenance type;The type of road maintenance or installation work at the specified location.;1..*;EAID_0E6AA3F1_2E2A_46ee_81DB_2A712623EE05;;
Situation;Roadworks;urgentRoadworks;Urgent roadworks;Indication of whether the roadworks are considered to be urgent whereby emergency work is being, or needs to be, undertaken to mitigate safety concerns. 'True' indicates they are urgent.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Situation;ServiceDisruption;serviceDisruptionType;Service disruption type;The type of service which is disrupted.;1..*;EAID_A5D45882_2346_433c_9444_415689FC888E;;
Situation;SituationRecordReference;objectReference;Object reference;A reference to a specific versioned identifiable object, which may be in this publication or an external publication;1..1;EAID_3BA348A2_B96E_4bc1_BF06_A2326B0E81BD;;
Situation;SituationReference;objectReference;Object reference;A reference to a specific versioned identifiable object, which may be in this publication or an external publication;1..1;EAID_3BA348A2_B96E_4bc1_BF06_A2326B0E81BD;;
LocationReferencing;Carriageway;carriageway;Carriageway;Indicates the section of carriageway to which the location relates.;1..1;EAID_2CABB53C_29CF_4ad3_A561_3B8F60C9997C;;
LocationReferencing;Carriageway;originalNumberOfLanes;Original number of lanes;Normal number of lanes, potentially available for moving traffic, before reduction due to situations. Hard shoulder should not be counted unless it is sometimes used operationally for moving traffic.;0..1;EAID_61F792F0_DD91_4b9e_A736_215CA3A9E8AC;;
LocationReferencing;Lane;laneNumber;Lane number;The number of the lane, where 1 is nearest the hard shoulder/verge and the numbers increase towards the central reservation/road axis.;0..1;EAID_61F792F0_DD91_4b9e_A736_215CA3A9E8AC;;
LocationReferencing;Lane;laneUsage;Lane usage;Indicates the specific lane to which the location relates.;0..1;EAID_54E375E2_2F62_4ebe_B81C_1EEBA7EC487F;;
LocationReferencing;SupplementaryPositionalDescription;geographicDescriptor;Geographic descriptor;Descriptor which identifies a geographic characteristic to help identify the specific location;1..1;EAID_2349DBC9_9F61_46ce_BEF6_C75FAA8E9899;;
LocationReferencing;SupplementaryPositionalDescription;infrastructureDescriptor;Infrastructure descriptor;Descriptor which identifies infrastructure to help identify the specific location.;0..1;EAID_F070917E_B59F_4a5a_9149_65A8B936DF20;;
LocationReferencing;SupplementaryPositionalDescription;lengthAffected;Length affected;This indicates the length (measured in metres) of carriageway (and lanes) affected by the associated traffic element.;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;SupplementaryPositionalDescription;locationDescription;Location description;Supplementary human-readable description of the location;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;SupplementaryPositionalDescription;locationPrecision;Location precision;Indicates that the location is given with a precision which is better than the stated value in metres.;0..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
LocationReferencing;TpegAreaLocation;tpegAreaLocationType;TPEG area location type;The type of TPEG location.;1..1;EAID_713B1BCA_3636_4d25_B776_0AC4BDAA43F5;;
LocationReferencing;TpegGeometricArea;radius;Radius;The radius of the corresponding circular area;1..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
LocationReferencing;TpegHeight;height;Height;A measurement of height in metres;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;TpegHeight;heightType;Height type;A descriptive identification of relative height using TPEG-Loc location referencing.;1..1;EAID_A8604D3B_5E14_429e_B51C_723A3410C52A;;
LocationReferencing;TpegAreaDescriptor;tpegAreaDescriptorType;TPEG area descriptor type;The nature of the descriptor used to define the location under consideration (derived from the TPEG Loc table 03).;1..1;EAID_FF857129_085C_45cd_940A_346E964DEB0B;;
LocationReferencing;TpegDescriptor;descriptor;Descriptor;A text string which describes or elaborates the location.;1..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Situation;AbnormalTraffic;abnormalTrafficType;Abnormal traffic type;A characterization of the nature of abnormal traffic flow, i.e. specifically relating to the nature of the traffic movement, implying a level of service.;0..1;EAID_5171B7C7_4F55_4526_B4C2_F173BF203431;;
Situation;AbnormalTraffic;queueLength;Queue length;The length of a queue or the average length of queues in separate lanes due to a situation.;0..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
Situation;AbnormalTraffic;trafficFlowCharacteristics;Traffic flow characteristics;The consistency (steadiness) of the traffic flow.;0..1;EAID_D3AAC8D1_D9DC_41e9_BA30_A409EBEBA639;;
Situation;AbnormalTraffic;trafficTrendType;Traffic trend type;A characterization of the trend in the traffic conditions at the specified location and direction.;0..1;EAID_F1ABFDD4_1E88_4f1c_A49D_7B504ADF4669;;
Situation;EquipmentOrSystemFault;equipmentOrSystemFaultType;Equipment or system fault type;Failure, malfunction or non operational condition of equipment or system.;1..1;EAID_DE4E0BE5_6E80_4cf8_A0F4_BEF93A05BDD0;;
Situation;EquipmentOrSystemFault;faultyEquipmentOrSystemType;Faulty equipment or system type;The type of equipment or system which is faulty, malfunctioning or not in a fully operational state.;1..1;EAID_B77B0A3E_B8B3_4f41_BC6B_338086E5E995;;
Situation;TrafficElement;trafficConstrictionType;Traffic constriction type;The type of constriction to which traffic is subjected as a result of an unplanned event;1..1;EAID_AEEB7BF9_9838_4c71_9655_C8AA50BC0845;;
Common;DayWeekMonth;applicableDay;Applicable day;Applicable day of the week. "All days of the week" is expressed by non-inclusion of this attribute.;0..7;EAID_B988FF79_9C45_4448_9527_A7C652DD1B16;;
Common;OverallPeriod;overallEndTime;Overall end time;End of bounding period of validity defined by date and time.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Common;OverallPeriod;overallStartTime;Overall start time;Start of bounding period of validity defined by date and time.;1..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Common;Period;endOfPeriod;End of period;End of a period.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Common;Period;startOfPeriod;Start of period;Start of period.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Common;TimePeriodOfDay;endTimeOfPeriod;End time of period;End of time period.;1..1;EAID_82EFE016_020C_4229_BAAE_422E5074B274;;
Common;TimePeriodOfDay;startTimeOfPeriod;Start time of period;Start of time period.;1..1;EAID_82EFE016_020C_4229_BAAE_422E5074B274;;
Common;Validity;overrunning;Overrunning;The activity or action described by the SituationRecord is still in progress, overrunning its planned duration as indicated in a previous version of this record or even in current version.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Common;Validity;validityStatus;Validity status;Specification of validity, either explicitly overriding the validity time specification or confirming it.;1..1;EAID_B071CFA6_4318_4638_92B6_A58A29022D23;;
Common;AxleSpacing;axleSpacing;Axle spacing;The spacing interval, indicated by the axleSpacingSequenceIdentifier, between the axles of an individual vehicle from front to back of the vehicle. ;1..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
Common;AxleSpacing;axleSpacingSequenceIdentifier;Axle spacing sequence identifier;Indicates the sequence number of the interval between the axles of the individual vehicle from front to back (e.g. 1, 2, 3...). This cannot exceed (numberOfAxles -1) if the numberOfAxles is also given as part of the VehicleCharacteristics.;1..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;AxleWeight;axlePositionIdentifier;Axle position identifier;Indicates the position of the axle on the vehicle numbered from front to back (i.e. 1, 2, 3...). This cannot exceed the numberOfAxles if provided as part of VehicleCharacteristics.;1..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;AxleWeight;axleWeight;Axle weight;The weight of the specific axle, indicated by the axleSequenceIdentifier, on the vehicle numbered from front to back of the vehicle. ;0..1;EAID_18215DD2_0F5E_4c31_976A_BA16FF6F8CBE;;
Common;AxleWeight;maximumPermittedAxleWeight;Maximum permitted axle weight;The maximum permitted weight of this specific axle on the vehicle.;0..1;EAID_18215DD2_0F5E_4c31_976A_BA16FF6F8CBE;;
Common;Vehicle;anonymizedVehicleReference;Anonymized vehicle reference;A reference for a vehicle derived from vehicle properties such as registration number but encoded so that it does not allow a human to identify the vehicle directly from the encoded value;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;Vehicle;vehicleColour;Vehicle colour;The colour of the vehicle.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Common;Vehicle;vehicleCountryOfOrigin;Vehicle country of origin;Specification of the country in which the vehicle is registered. The code is the 2-alpha code as given in EN ISO 3166-1 which is updated by the ISO 3166 Maintenance Agency.;0..1;EAID_31321824_B48F_4b14_8739_481ABEA68F95;;
Common;Vehicle;vehicleIdentifier;Vehicle identifier;A vehicle identification number (VIN) comprising 17 characters that is based on either ISO 3779 or ISO 3780 and uniquely identifies the individual vehicle. This is normally securely attached to the vehicle chassis.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;Vehicle;vehicleManufacturer;Vehicle manufacturer;Indicates the stated manufacturer of the vehicle, e.g. Ford.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;Vehicle;vehicleModel;Vehicle model;Indicates the model (or range name) of the vehicle, e.g. Mondeo.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;Vehicle;vehicleRegistrationPlateIdentifier;Vehicle registration plate identifier;An identifier or code displayed on a vehicle registration plate attached to the vehicle used for official identification purposes. The registration identifier is numeric or alphanumeric and is unique within the issuing authority's region.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;Vehicle;vehicleStatus;Vehicle status;Vehicle status.;0..1;EAID_8A84894F_80A5_4088_A946_78775E17664E;;
Common;Emissions;emissionClassificationEuro;Emission classification euro;The minimum Euro emission classification the vehicle(s) have to comply with according to the 1970 Directive 70/220/EEC and its several amendments. Note that vehicleType and fuelType need to be provided in order to make this classification explicit.;0..1;EAID_DEEE3710_D194_4573_A36B_676555AE1B03;;
Common;Emissions;emissionClassificationOther;Emission classification other;Some other (probably locally defined) value(s) for emission classification.;0..*;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;Emissions;emissionLevel;Emission level;The low emission level of a vehicle.;0..1;EAID_4C0F286A_B692_436b_B498_2706B5475505;;
Common;GrossWeightCharacteristic;comparisonOperator;Comparison operator;The operator to be used in the vehicle characteristic comparison operation.;1..1;EAID_4013D83C_DA11_4d0c_B4BD_072E4CCC74D2;;
Common;GrossWeightCharacteristic;grossVehicleWeight;Gross vehicle weight;The gross weight of the vehicle and its load, including any trailers.;1..1;EAID_18215DD2_0F5E_4c31_976A_BA16FF6F8CBE;;
Common;GrossWeightCharacteristic;typeOfWeight;Type of weight;The meaning of the weight value;1..1;EAID_24EC9188_E53D_47b2_AB55_8BD8242C60CE;;
Common;HeaviestAxleWeightCharacteristic;comparisonOperator;Comparison operator;The operator to be used in the vehicle characteristic comparison operation.;1..1;EAID_4013D83C_DA11_4d0c_B4BD_072E4CCC74D2;;
Common;HeaviestAxleWeightCharacteristic;heaviestAxleWeight;Heaviest axle weight;The weight of the heaviest axle on the vehicle.;1..1;EAID_18215DD2_0F5E_4c31_976A_BA16FF6F8CBE;;
Common;HeightCharacteristic;comparisonOperator;Comparison operator;The operator to be used in the vehicle characteristic comparison operation.;1..1;EAID_4013D83C_DA11_4d0c_B4BD_072E4CCC74D2;;
Common;HeightCharacteristic;vehicleHeight;Vehicle height;The height of the highest part, excluding antennae, of an individual vehicle above the road surface, in metres.;1..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
Common;LengthCharacteristic;comparisonOperator;Comparison operator;The operator to be used in the vehicle characteristic comparison operation.;1..1;EAID_4013D83C_DA11_4d0c_B4BD_072E4CCC74D2;;
Common;LengthCharacteristic;vehicleLength;Vehicle length;The overall distance between the front and back of an individual vehicle, including the length of any trailers, couplings, embedded features etc.;1..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
Common;NumberOfAxlesCharacteristic;comparisonOperator;Comparison operator;The operator to be used in the vehicle characteristic comparison operation.;1..1;EAID_4013D83C_DA11_4d0c_B4BD_072E4CCC74D2;;
Common;NumberOfAxlesCharacteristic;numberOfAxles;Number of axles;The total number of axles of an individual vehicle.;1..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;VehicleCharacteristics;fuelType;Fuel type;The type of fuel used by the vehicle.;0..*;EAID_8F754A80_0133_47c2_A2E5_6DC872C3F4BE;;
Common;VehicleCharacteristics;loadType;Load type;The type of load carried by the vehicle, especially in respect of hazardous loads.;0..1;EAID_1C112154_300E_4645_A522_E6FA0D29AB51;;
Common;VehicleCharacteristics;vehicleEquipment;Vehicle equipment;The type of equipment in use or on board the vehicle.;0..1;EAID_08CCC1C0_8CA8_403c_AAD4_682A731FA3CD;;
Common;VehicleCharacteristics;vehicleType;Vehicle type;Vehicle type.;1..*;EAID_61FF4543_14D3_4a72_8934_72AECC1EC99C;;
Common;VehicleCharacteristics;vehicleUsage;Vehicle usage;The type of usage of the vehicle (i.e. for what purpose is the vehicle being used).;0..1;EAID_90DDE5F1_B273_4918_9BA3_BD93BA6823B9;;
Common;VehicleCharacteristics;yearOfFirstRegistration;Year of first registration;Year of first registration of the vehicle;0..1;EAID_0CC0FA6C_C622_40c4_8067_99270717FFDB;;
Common;WidthCharacteristic;comparisonOperator;Comparison operator;The operator to be used in the vehicle characteristic comparison operation.;1..1;EAID_4013D83C_DA11_4d0c_B4BD_072E4CCC74D2;;
Common;WidthCharacteristic;vehicleWidth;Vehicle width;The maximum width of an individual vehicle, including any features embedded or fixed on it, in metres.;1..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;

